animal_id,type,breed,name,dob,kidFriendly,pottyTrained,adoptionPrice
1,dog,Golden Retriever,Buddy,2022-06-15,1,1,350
2,dog,Cocker Spaniel,Charlie,2023-01-10,1,1,275
3,dog,English Springer Spaniel,Max,2022-09-22,1,0,325
4,cat,Siamese,Luna,2023-04-05,0,1,200
5,cat,Maine Coon,Oliver,2022-12-18,1,1,250
6,cat,Ragdoll,Bella,2021-08-30,1,1,225
7,turtle,Red-eared Slider,Shelly,2020-05-12,1,0,150
8,dog,Labrador Retriever,Cooper,2021-10-08,1,1,375
9,cat,Persian,Leo,2023-02-14,0,1,225
10,turtle,Eastern Box Turtle,Franklin,2019-07-21,1,0,175
11,dog,Beagle,Bailey,2022-04-03,1,1,300
12,dog,Poodle,Daisy,2021-11-17,1,1,400
13,dog,German Shepherd,Rocky,2022-02-28,0,1,425
14,cat,Bengal,Milo,2023-03-12,1,1,275
15,cat,Scottish Fold,Lily,2022-08-07,1,1,300
16,rabbit,Holland Lop,Thumper,2023-01-25,1,0,125
17,dog,Husky,Ghost,2021-06-19,0,1,375
18,cat,Sphynx,Cleo,2022-07-20,0,1,350
19,dog,Border Collie,Sky,2022-05-14,1,1,325
20,cat,American Shorthair,Simba,2023-02-01,1,1,200
21,dog,French Bulldog,Winston,2022-10-10,1,1,450
22,dog,Dachshund,Oscar,2023-01-05,1,0,275
23,cat,Norwegian Forest,Sophie,2022-04-25,1,1,325
24,dog,Australian Shepherd,Rusty,2021-12-12,1,1,350
25,cat,Russian Blue,Misty,2022-09-08,0,1,275
26,rabbit,Lionhead,Fluffy,2023-02-20,1,0,150
27,dog,Boxer,Duke,2022-07-14,1,1,375
28,cat,Birman,Nala,2023-01-30,1,1,250
29,turtle,Painted Turtle,Speedy,2020-10-05,1,0,165
30,dog,Shih Tzu,Teddy,2022-03-18,1,1,300
31,cat,Himalayan,Coco,2022-11-15,1,1,275
32,dog,Cavalier King Charles Spaniel,Molly,2022-08-25,1,1,400
33,cat,Bombay,Shadow,2022-02-10,0,1,225
34,dog,Chihuahua,Peanut,2022-12-05,0,0,250
35,rabbit,Rex,Hopper,2023-01-15,1,0,135
36,dog,Great Dane,Thor,2021-09-14,1,1,500
37,cat,Exotic Shorthair,Felix,2022-06-30,1,1,275
38,dog,Bulldog,Meatball,2022-05-22,1,0,425
39,cat,Tonkinese,Tiger,2022-10-25,1,1,225
40,turtle,Spotted Turtle,Flash,2019-11-11,1,0,180
41,dog,Rottweiler,Bruno,2021-08-08,0,1,400
42,cat,Japanese Bobtail,Hana,2023-03-01,1,1,250
43,dog,Bernese Mountain Dog,Baloo,2022-01-20,1,1,450
44,cat,Devon Rex,Loki,2022-07-05,0,1,300
45,dog,Corgi,Waffles,2022-11-30,1,1,375
46,rabbit,Mini Lop,Cinnamon,2023-02-05,1,0,140
47,dog,Maltese,Snowy,2022-09-10,1,1,350
48,cat,Turkish Angora,Pearl,2022-04-12,1,1,250
49,dog,Bichon Frise,Cotton,2023-01-18,1,1,325
50,cat,Cornish Rex,Smokey,2022-08-20,0,1,275
